,nabs,rough,plank,quart,flower,herb,tape,batteries,bacon,mech,twine,powder
Anti-Air Trap,6,,3,1,,,,,,,,
Ceiling Gas Trap,7,,,,,5,,,1,,,2
Ceiling Electric Field,8,3,,,,,,2,,,,2
Wall Dynamo,8,,,,,,,1,,3,,
Retractable Floor Spikes,9,2,,,,,,,,2,,
Ceiling Zapper,9,,,,,,,1,,3,,
Floor Launcher / Wall Launcher,,4,6,,,,,,,,,2
Sound Wall,,7,,1,,,,,,3,,
Tar Pit,,7,,2,,,,,,2,,
Flame Grill Floor Trap / Floor Freeze Trap,,7,,2,,,,,,,,2
Wall Spikes,,,3,,,,1,,,,2,
Wall Lights,,,5,2,,,,,,2,,
Wooden Floor Spikes,,,5,,,,1,,,,2,
Broadside,,,7,,,,,,,2,,2
Ceiling Drop Trap / Wall Darts,,,7,,,,,,,2,2,
Cozy Campfire,,,9,,2,,,,,,2,
Healing Pad,,,,,4,2,,,1,,,
